run,judge_model,language,dimension,n_protocols,best_protocol,best_protocol_name,best_auroc,best_spearman,worst_protocol,worst_protocol_name,worst_auroc,worst_spearman,auroc_range,spearman_range,max_mean_abs_score_shift,n_significant_auroc_pairs,has_significant_auroc_pair,largest_abs_auroc_delta,largest_auroc_delta_b_minus_a,largest_auroc_delta_pair,best_is_direct,best_is_pivot,pivot_is_worst,has_pivot
candidate n50,gpt-4o-mini,en-US,comprehensibility,4,P0_direct_english,Direct English rubric,0.9104,0.7311803351978154,P1_target_rubric,Target-language rubric,0.8808,0.69926316763428,0.02959999999999996,0.031917167563535465,0.88,0,False,0.0295999999999999,-0.0295999999999999,P1_target_rubric minus P0_direct_english,True,False,False,True
candidate n50,gpt-4o-mini,en-US,grammar,4,P3_bilingual,Bilingual rubric,0.7112,0.3849198167230708,P0_direct_english,Direct English rubric,0.6808,0.3274330871068557,0.030400000000000094,0.05748672961621509,0.94,0,False,0.0304,0.0304,P3_bilingual minus P0_direct_english,False,False,False,True
candidate n50,gpt-4o-mini,es-ES,comprehensibility,4,P0_direct_english,Direct English rubric,0.864,0.6522501509697184,P2_explicit_pivot,Explicit English pivot,0.7928,0.5269460854986353,0.07120000000000004,0.12530406547108308,0.64,0,False,0.0712,-0.0712,P2_explicit_pivot minus P0_direct_english,True,False,True,True
candidate n50,gpt-4o-mini,es-ES,grammar,4,P2_explicit_pivot,Explicit English pivot,0.6616,0.2886450719128268,P1_target_rubric,Target-language rubric,0.5848,0.1655997334135308,0.07679999999999998,0.123045338499296,0.84,0,False,0.0767999999999999,0.0767999999999999,P2_explicit_pivot minus P1_target_rubric,False,True,False,True
candidate n50,gpt-4o-mini,tr,comprehensibility,4,P0_direct_english,Direct English rubric,0.836,0.6029760787060543,P2_explicit_pivot,Explicit English pivot,0.6864,0.3310798255570991,0.14959999999999996,0.2718962531489552,0.8,3,True,0.1495999999999999,-0.1495999999999999,P2_explicit_pivot minus P0_direct_english,True,False,True,True
candidate n50,gpt-4o-mini,tr,grammar,4,P0_direct_english,Direct English rubric,0.488,-0.0216129578267689,P1_target_rubric,Target-language rubric,0.4536,-0.0883593160138124,0.034399999999999986,0.0667463581870435,0.96,0,False,0.0343999999999999,-0.0343999999999999,P1_target_rubric minus P0_direct_english,True,False,False,True
candidate n50,gpt-4o-mini,vi,comprehensibility,4,P3_bilingual,Bilingual rubric,0.7136,0.3993535043999364,P2_explicit_pivot,Explicit English pivot,0.548,0.0855464128311924,0.16559999999999997,0.313807091568744,0.96,2,True,0.1655999999999999,0.1655999999999999,P3_bilingual minus P2_explicit_pivot,False,False,True,True
candidate n50,gpt-4o-mini,vi,grammar,4,P1_target_rubric,Target-language rubric,0.628,0.2542566904654913,P2_explicit_pivot,Explicit English pivot,0.5088,0.0159182246144367,0.11919999999999997,0.23833846585105462,1.2,0,False,0.1191999999999999,-0.1191999999999999,P2_explicit_pivot minus P1_target_rubric,False,False,True,True
semantic n30,gpt-4o-mini,es-ES,main_ideas,4,P2_explicit_pivot,Explicit English pivot,0.7711111111111111,0.5142600483210981,P1_target_rubric,Target-language rubric,0.7177777777777777,0.4234930993874141,0.053333333333333344,0.09076694893368398,0.4,0,False,0.0533333333333333,0.0533333333333333,P2_explicit_pivot minus P1_target_rubric,False,True,False,True
semantic n30,gpt-4o-mini,tr,main_ideas,4,P3_bilingual,Bilingual rubric,0.7933333333333333,0.5878872554929899,P2_explicit_pivot,Explicit English pivot,0.6688888888888889,0.3385309064224042,0.12444444444444447,0.24935634907058574,0.4,0,False,0.1244444444444444,0.1244444444444444,P3_bilingual minus P2_explicit_pivot,False,False,True,True
semantic n30,gpt-4o-mini,vi,main_ideas,4,P3_bilingual,Bilingual rubric,0.6066666666666667,0.1947217599843546,P2_explicit_pivot,Explicit English pivot,0.5,0.0,0.10666666666666669,0.1947217599843546,0.7,1,True,0.1066666666666666,0.1066666666666666,P3_bilingual minus P2_explicit_pivot,False,False,True,True
wmt reference n30,gpt-4o-mini,en-de,translation_quality,4,P3_bilingual,Bilingual rubric,0.6888888888888889,0.4705910525045264,P1_target_rubric,Target-language rubric,0.5955555555555555,0.3181260124932406,0.09333333333333338,0.1524650400112858,0.2,0,False,0.0933333333333333,0.0933333333333333,P3_bilingual minus P1_target_rubric,False,False,False,True
wmt reference n30,gpt-4o-mini,en-ru,translation_quality,4,P1_target_rubric,Target-language rubric,0.6488888888888888,0.3201932156205854,P2_explicit_pivot,Explicit English pivot,0.5644444444444444,0.1348983132081927,0.08444444444444443,0.1852949024123927,0.1666666666666666,0,False,0.0844444444444444,-0.0844444444444444,P2_explicit_pivot minus P1_target_rubric,False,False,True,True
wmt reference n30,gpt-4o-mini,zh-en,translation_quality,2,P0_direct_english,Direct English rubric,0.6933333333333334,0.354159264299534,P2_explicit_pivot,Explicit English pivot,0.6688888888888889,0.3035147642557312,0.02444444444444449,0.050644500043802776,0.5333333333333333,0,False,0.0244444444444444,-0.0244444444444444,P2_explicit_pivot minus P0_direct_english,True,False,True,True
wmt ref-free n30,gpt-4o-mini,en-de,translation_quality_ref_free,4,P3_bilingual,Bilingual rubric,0.8377777777777777,0.6770618128448084,P2_explicit_pivot,Explicit English pivot,0.7088888888888889,0.4373275788872813,0.12888888888888883,0.23973423395752708,0.1333333333333333,2,True,0.1288888888888888,0.1288888888888888,P3_bilingual minus P2_explicit_pivot,False,False,True,True
wmt ref-free n30,gpt-4o-mini,en-ru,translation_quality_ref_free,4,P1_target_rubric,Target-language rubric,0.6,0.1991169934799915,P0_direct_english,Direct English rubric,0.5111111111111111,0.0233954135447865,0.0888888888888889,0.175721579935205,0.2666666666666666,1,True,0.0888888888888889,0.0888888888888889,P1_target_rubric minus P0_direct_english,False,False,False,True
wmt ref-free n30,gpt-4o-mini,zh-en,translation_quality_ref_free,2,P0_direct_english,Direct English rubric,0.82,0.5953667260282005,P2_explicit_pivot,Explicit English pivot,0.6,0.1874999999999999,0.21999999999999997,0.4078667260282006,0.7,1,True,0.2199999999999999,-0.2199999999999999,P2_explicit_pivot minus P0_direct_english,True,False,True,True
candidate audit n25,gpt-4.1-mini,en-US,comprehensibility,4,P2_explicit_pivot,Explicit English pivot,0.8621794871794872,0.649018973804459,P1_target_rubric,Target-language rubric,0.7467948717948718,0.4363632397855295,0.11538461538461542,0.21265573401892957,0.56,3,True,0.1153846153846154,0.1153846153846154,P2_explicit_pivot minus P1_target_rubric,False,True,False,True
candidate audit n25,gpt-4.1-mini,en-US,grammar,4,P0_direct_english,Direct English rubric,0.8461538461538461,0.6445033866354896,P3_bilingual,Bilingual rubric,0.6762820512820513,0.346487233427999,0.16987179487179482,0.2980161532074906,0.28,3,True,0.1698717948717948,-0.1698717948717948,P3_bilingual minus P0_direct_english,True,False,False,True
candidate audit n25,gpt-4.1-mini,es-ES,comprehensibility,4,P0_direct_english,Direct English rubric,0.907051282051282,0.7384519731655377,P2_explicit_pivot,Explicit English pivot,0.7532051282051282,0.4617940948247173,0.15384615384615385,0.2766578783408204,0.8,0,False,0.1538461538461538,-0.1538461538461538,P2_explicit_pivot minus P0_direct_english,True,False,True,True
candidate audit n25,gpt-4.1-mini,es-ES,grammar,4,P2_explicit_pivot,Explicit English pivot,0.657051282051282,0.2882169445571997,P0_direct_english,Direct English rubric,0.5641025641025641,0.1304314294052203,0.09294871794871795,0.15778551515197942,0.92,0,False,0.0929487179487179,0.0929487179487179,P2_explicit_pivot minus P0_direct_english,False,True,False,True
candidate audit n25,gpt-4.1-mini,tr,comprehensibility,4,P3_bilingual,Bilingual rubric,0.9455128205128204,0.7960599483557741,P2_explicit_pivot,Explicit English pivot,0.592948717948718,0.168445300211353,0.3525641025641024,0.6276146481444211,1.16,3,True,0.3525641025641025,0.3525641025641025,P3_bilingual minus P2_explicit_pivot,False,False,True,True
candidate audit n25,gpt-4.1-mini,tr,grammar,4,P1_target_rubric,Target-language rubric,0.5512820512820513,0.0939495335305675,P0_direct_english,Direct English rubric,0.4487179487179487,-0.0935079823281842,0.10256410256410264,0.1874575158587517,0.84,0,False,0.1025641025641025,0.1025641025641025,P1_target_rubric minus P0_direct_english,False,False,False,True
candidate audit n25,gpt-4.1-mini,vi,comprehensibility,4,P1_target_rubric,Target-language rubric,0.8076923076923077,0.554700196225229,P2_explicit_pivot,Explicit English pivot,0.6153846153846154,0.2073655655673971,0.1923076923076923,0.34733463065783193,0.96,0,False,0.1923076923076923,-0.1923076923076923,P2_explicit_pivot minus P1_target_rubric,False,False,True,True
candidate audit n25,gpt-4.1-mini,vi,grammar,4,P0_direct_english,Direct English rubric,0.8141025641025641,0.5637952184510965,P2_explicit_pivot,Explicit English pivot,0.4711538461538461,-0.0517664218784502,0.342948717948718,0.6155616403295466,0.84,3,True,0.3429487179487179,-0.3429487179487179,P2_explicit_pivot minus P0_direct_english,True,False,True,True
wmt ref-free audit,gpt-4.1-mini,zh-en,translation_quality_ref_free,2,P0_direct_english,Direct English rubric,0.7733333333333333,0.5027112659250815,P2_explicit_pivot,Explicit English pivot,0.6355555555555555,0.2544982606324177,0.13777777777777778,0.24821300529266382,0.6666666666666666,0,False,0.1377777777777777,-0.1377777777777777,P2_explicit_pivot minus P0_direct_english,True,False,True,True
wmt ref-free audit,gpt-4.1-mini,en-de,translation_quality_ref_free,2,P2_explicit_pivot,Explicit English pivot,0.7844444444444445,0.5634885800483993,P3_bilingual,Bilingual rubric,0.76,0.5032781794346813,0.02444444444444449,0.06021040061371796,0.2,0,False,0.0244444444444444,-0.0244444444444444,P3_bilingual minus P2_explicit_pivot,False,True,False,True
