control,prompt_id,item_id,language,dimension,protocol,same_prompt_text,score_a,score_b,abs_score_delta,same_raw_response,timestamp_a,timestamp_b,response_file_a,response_file_b
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_001235_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_en-US_comprehensibility_001235_mt5_small,en-US,comprehensibility,P0_direct_english,True,1,2,1.0,False,2026-06-28T01:09:54.932395+00:00,2026-06-28T01:51:19.143013+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_001235_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse_test_en-US_comprehensibility_001235_mt5_small,en-US,comprehensibility,P1_target_rubric,True,1,2,1.0,False,2026-06-28T01:09:55.769240+00:00,2026-06-28T01:51:20.293174+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_001235_mt5_small__P3_bilingual__gpt-4o-mini,seahorse_test_en-US_comprehensibility_001235_mt5_small,en-US,comprehensibility,P3_bilingual,True,1,1,0.0,True,2026-06-28T01:09:57.627138+00:00,2026-06-28T01:51:21.164292+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_007360_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_en-US_comprehensibility_007360_mt5_small,en-US,comprehensibility,P0_direct_english,True,2,2,0.0,True,2026-06-28T01:10:03.428104+00:00,2026-06-28T01:50:23.424663+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_007360_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse_test_en-US_comprehensibility_007360_mt5_small,en-US,comprehensibility,P1_target_rubric,True,2,2,0.0,False,2026-06-28T01:10:04.822652+00:00,2026-06-28T01:50:24.596745+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_007360_mt5_small__P3_bilingual__gpt-4o-mini,seahorse_test_en-US_comprehensibility_007360_mt5_small,en-US,comprehensibility,P3_bilingual,True,2,2,0.0,False,2026-06-28T01:10:08.057899+00:00,2026-06-28T01:50:25.487725+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_grammar_000525_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_en-US_grammar_000525_mt5_small,en-US,grammar,P0_direct_english,True,4,4,0.0,False,2026-06-28T01:11:10.028213+00:00,2026-06-28T01:53:20.538531+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_grammar_000525_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse_test_en-US_grammar_000525_mt5_small,en-US,grammar,P1_target_rubric,True,3,3,0.0,True,2026-06-28T01:11:11.158097+00:00,2026-06-28T01:53:22.271011+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_grammar_000525_mt5_small__P3_bilingual__gpt-4o-mini,seahorse_test_en-US_grammar_000525_mt5_small,en-US,grammar,P3_bilingual,True,4,4,0.0,True,2026-06-28T01:11:13.331436+00:00,2026-06-28T01:53:23.210290+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_004852_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_004852_mt5_small,es-ES,comprehensibility,P0_direct_english,True,3,2,1.0,False,2026-06-28T01:13:18.857159+00:00,2026-06-28T01:56:25.148333+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_004852_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_004852_mt5_small,es-ES,comprehensibility,P1_target_rubric,True,2,2,0.0,False,2026-06-28T01:13:19.981062+00:00,2026-06-28T01:56:26.225624+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_004852_mt5_small__P3_bilingual__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_004852_mt5_small,es-ES,comprehensibility,P3_bilingual,True,2,2,0.0,True,2026-06-28T01:13:22.474944+00:00,2026-06-28T01:56:27.253644+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps,es-ES,comprehensibility,P0_direct_english,True,2,2,0.0,False,2026-06-28T01:12:23.703851+00:00,2026-06-28T01:54:54.282529+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps,es-ES,comprehensibility,P1_target_rubric,True,1,1,0.0,True,2026-06-28T01:12:24.654235+00:00,2026-06-28T01:54:55.191266+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps,es-ES,comprehensibility,P3_bilingual,True,2,2,0.0,False,2026-06-28T01:12:26.695744+00:00,2026-06-28T01:54:56.460851+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps,es-ES,comprehensibility,P0_direct_english,True,2,2,0.0,True,2026-06-28T01:12:58.319906+00:00,2026-06-28T01:56:36.004919+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps,es-ES,comprehensibility,P1_target_rubric,True,2,2,0.0,False,2026-06-28T01:12:59.502256+00:00,2026-06-28T01:56:37.051448+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps,es-ES,comprehensibility,P3_bilingual,True,2,2,0.0,False,2026-06-28T01:13:02.125919+00:00,2026-06-28T01:56:38.061827+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_014010_1shot__P0_direct_english__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_014010_1shot,es-ES,comprehensibility,P0_direct_english,True,1,1,0.0,True,2026-06-28T01:13:27.769384+00:00,2026-06-28T01:54:14.333443+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_014010_1shot__P1_target_rubric__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_014010_1shot,es-ES,comprehensibility,P1_target_rubric,True,1,1,0.0,True,2026-06-28T01:13:28.753977+00:00,2026-06-28T01:54:15.544008+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_014010_1shot__P3_bilingual__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_014010_1shot,es-ES,comprehensibility,P3_bilingual,True,1,1,0.0,True,2026-06-28T01:13:31.130503+00:00,2026-06-28T01:54:16.429124+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_grammar_013985_1shot__P0_direct_english__gpt-4o-mini,seahorse_test_es-ES_grammar_013985_1shot,es-ES,grammar,P0_direct_english,True,4,4,0.0,True,2026-06-28T01:13:49.365083+00:00,2026-06-28T01:58:54.985779+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_grammar_013985_1shot__P1_target_rubric__gpt-4o-mini,seahorse_test_es-ES_grammar_013985_1shot,es-ES,grammar,P1_target_rubric,True,4,4,0.0,False,2026-06-28T01:13:50.796445+00:00,2026-06-28T01:58:56.027156+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_grammar_013985_1shot__P3_bilingual__gpt-4o-mini,seahorse_test_es-ES_grammar_013985_1shot,es-ES,grammar,P3_bilingual,True,4,4,0.0,True,2026-06-28T01:13:52.485944+00:00,2026-06-28T01:58:56.857564+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps,tr,comprehensibility,P0_direct_english,True,1,1,0.0,True,2026-06-28T01:14:53.799796+00:00,2026-06-28T02:02:03.179140+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps,tr,comprehensibility,P1_target_rubric,True,1,1,0.0,True,2026-06-28T01:14:55.103213+00:00,2026-06-28T02:02:04.492233+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps,tr,comprehensibility,P3_bilingual,True,1,1,0.0,True,2026-06-28T01:14:57.177622+00:00,2026-06-28T02:02:05.582760+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_grammar_001452_mt5_xxl__P0_direct_english__gpt-4o-mini,seahorse_test_tr_grammar_001452_mt5_xxl,tr,grammar,P0_direct_english,True,4,4,0.0,True,2026-06-28T01:16:46.605298+00:00,2026-06-28T02:02:23.256115+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_grammar_001452_mt5_xxl__P1_target_rubric__gpt-4o-mini,seahorse_test_tr_grammar_001452_mt5_xxl,tr,grammar,P1_target_rubric,True,2,2,0.0,False,2026-06-28T01:16:47.734210+00:00,2026-06-28T02:02:24.404141+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_grammar_001452_mt5_xxl__P3_bilingual__gpt-4o-mini,seahorse_test_tr_grammar_001452_mt5_xxl,tr,grammar,P3_bilingual,True,4,4,0.0,False,2026-06-28T01:16:49.644408+00:00,2026-06-28T02:02:25.410552+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_grammar_007735_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse_test_tr_grammar_007735_mt5_small_250steps,tr,grammar,P0_direct_english,True,2,2,0.0,False,2026-06-28T01:17:27.132295+00:00,2026-06-28T02:03:42.558723+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_grammar_007735_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse_test_tr_grammar_007735_mt5_small_250steps,tr,grammar,P1_target_rubric,True,2,2,0.0,False,2026-06-28T01:17:29.115023+00:00,2026-06-28T02:03:43.560074+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_tr_grammar_007735_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse_test_tr_grammar_007735_mt5_small_250steps,tr,grammar,P3_bilingual,True,2,2,0.0,True,2026-06-28T01:17:31.081847+00:00,2026-06-28T02:03:44.767842+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_comprehensibility_009121_reference__P0_direct_english__gpt-4o-mini,seahorse_test_vi_comprehensibility_009121_reference,vi,comprehensibility,P0_direct_english,True,4,4,0.0,True,2026-06-28T01:18:23.076098+00:00,2026-06-28T02:07:38.397849+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_comprehensibility_009121_reference__P1_target_rubric__gpt-4o-mini,seahorse_test_vi_comprehensibility_009121_reference,vi,comprehensibility,P1_target_rubric,True,4,4,0.0,True,2026-06-28T01:18:24.849888+00:00,2026-06-28T02:07:39.574421+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_comprehensibility_009121_reference__P3_bilingual__gpt-4o-mini,seahorse_test_vi_comprehensibility_009121_reference,vi,comprehensibility,P3_bilingual,True,4,4,0.0,False,2026-06-28T01:18:26.916847+00:00,2026-06-28T02:07:41.678038+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_grammar_009109_mt5_xxl__P0_direct_english__gpt-4o-mini,seahorse_test_vi_grammar_009109_mt5_xxl,vi,grammar,P0_direct_english,True,4,4,0.0,True,2026-06-28T01:21:00.410812+00:00,2026-06-28T02:10:05.822748+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_grammar_009109_mt5_xxl__P1_target_rubric__gpt-4o-mini,seahorse_test_vi_grammar_009109_mt5_xxl,vi,grammar,P1_target_rubric,True,3,3,0.0,False,2026-06-28T01:21:01.605002+00:00,2026-06-28T02:10:07.014946+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_grammar_009109_mt5_xxl__P3_bilingual__gpt-4o-mini,seahorse_test_vi_grammar_009109_mt5_xxl,vi,grammar,P3_bilingual,True,4,4,0.0,False,2026-06-28T01:21:03.609190+00:00,2026-06-28T02:10:08.096248+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_grammar_016414_1shot__P0_direct_english__gpt-4o-mini,seahorse_test_vi_grammar_016414_1shot,vi,grammar,P0_direct_english,True,4,4,0.0,True,2026-06-28T01:20:25.675888+00:00,2026-06-28T02:09:01.540060+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_grammar_016414_1shot__P1_target_rubric__gpt-4o-mini,seahorse_test_vi_grammar_016414_1shot,vi,grammar,P1_target_rubric,True,3,3,0.0,False,2026-06-28T01:20:26.967097+00:00,2026-06-28T02:09:03.240618+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_vi_grammar_016414_1shot__P3_bilingual__gpt-4o-mini,seahorse_test_vi_grammar_016414_1shot,vi,grammar,P3_bilingual,True,4,4,0.0,False,2026-06-28T01:20:28.780582+00:00,2026-06-28T02:09:04.333589+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_en-US_comprehensibility_001235_mt5_small__P2_explicit_pivot__gpt-4o-mini,seahorse_test_en-US_comprehensibility_001235_mt5_small,en-US,comprehensibility,P2_explicit_pivot,False,1,1,0.0,True,2026-06-28T01:28:03.064951+00:00,2026-06-28T02:18:52.939739+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_en-US_comprehensibility_007360_mt5_small__P2_explicit_pivot__gpt-4o-mini,seahorse_test_en-US_comprehensibility_007360_mt5_small,en-US,comprehensibility,P2_explicit_pivot,False,2,2,0.0,True,2026-06-28T01:28:04.633604+00:00,2026-06-28T02:18:33.968149+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_en-US_grammar_000525_mt5_small__P2_explicit_pivot__gpt-4o-mini,seahorse_test_en-US_grammar_000525_mt5_small,en-US,grammar,P2_explicit_pivot,False,4,4,0.0,False,2026-06-28T01:28:17.081763+00:00,2026-06-28T02:19:32.665199+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_es-ES_comprehensibility_004852_mt5_small__P2_explicit_pivot__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_004852_mt5_small,es-ES,comprehensibility,P2_explicit_pivot,False,2,2,0.0,False,2026-06-28T01:28:47.768174+00:00,2026-06-28T02:20:44.574352+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps__P2_explicit_pivot__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_010407_mt5_small_250steps,es-ES,comprehensibility,P2_explicit_pivot,False,2,1,1.0,False,2026-06-28T01:28:33.977664+00:00,2026-06-28T02:20:07.706908+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps__P2_explicit_pivot__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_012608_mt5_small_250steps,es-ES,comprehensibility,P2_explicit_pivot,False,3,4,1.0,False,2026-06-28T01:28:42.316777+00:00,2026-06-28T02:20:48.607391+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_es-ES_comprehensibility_014010_1shot__P2_explicit_pivot__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_014010_1shot,es-ES,comprehensibility,P2_explicit_pivot,False,1,1,0.0,True,2026-06-28T01:28:49.816413+00:00,2026-06-28T02:19:52.153937+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_es-ES_grammar_013985_1shot__P2_explicit_pivot__gpt-4o-mini,seahorse_test_es-ES_grammar_013985_1shot,es-ES,grammar,P2_explicit_pivot,False,4,4,0.0,False,2026-06-28T01:28:54.972460+00:00,2026-06-28T02:21:33.104033+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps__P2_explicit_pivot__gpt-4o-mini,seahorse_test_tr_comprehensibility_005166_mt5_small_250steps,tr,comprehensibility,P2_explicit_pivot,False,3,3,0.0,True,2026-06-28T01:29:10.995144+00:00,2026-06-28T02:22:33.216168+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_tr_grammar_001452_mt5_xxl__P2_explicit_pivot__gpt-4o-mini,seahorse_test_tr_grammar_001452_mt5_xxl,tr,grammar,P2_explicit_pivot,False,5,1,4.0,False,2026-06-28T01:29:30.619439+00:00,2026-06-28T02:22:38.686880+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_tr_grammar_007735_mt5_small_250steps__P2_explicit_pivot__gpt-4o-mini,seahorse_test_tr_grammar_007735_mt5_small_250steps,tr,grammar,P2_explicit_pivot,False,2,1,1.0,False,2026-06-28T01:29:39.398227+00:00,2026-06-28T02:23:01.684033+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_vi_comprehensibility_009121_reference__P2_explicit_pivot__gpt-4o-mini,seahorse_test_vi_comprehensibility_009121_reference,vi,comprehensibility,P2_explicit_pivot,False,5,4,1.0,False,2026-06-28T01:29:48.925874+00:00,2026-06-28T02:24:06.545069+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_vi_grammar_009109_mt5_xxl__P2_explicit_pivot__gpt-4o-mini,seahorse_test_vi_grammar_009109_mt5_xxl,vi,grammar,P2_explicit_pivot,False,3,4,1.0,False,2026-06-28T01:30:20.039343+00:00,2026-06-28T02:24:54.839144+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
explicit-pivot pipeline repeat,seahorse_test_vi_grammar_016414_1shot__P2_explicit_pivot__gpt-4o-mini,seahorse_test_vi_grammar_016414_1shot,vi,grammar,P2_explicit_pivot,False,4,4,0.0,False,2026-06-28T01:30:12.153753+00:00,2026-06-28T02:24:32.793216+00:00,data/responses/pilot_n20_explicit_pivot_responses.jsonl,data/responses/candidate_n50_explicit_pivot_responses.jsonl
