run,language,dimension,protocol,n,mean_score,mean_score_human_positive,mean_score_human_negative,score_separation_pos_minus_neg,predicted_good_rate_threshold_4,positive_good_rate_threshold_4,negative_good_rate_threshold_4,balanced_accuracy_threshold_4,best_in_group_threshold,best_in_group_balanced_accuracy
candidate n50,en-US,comprehensibility,P0_direct_english,50,3.0,3.92,2.08,1.8399999999999999,0.42,0.76,0.08,0.8400000000000001,4,0.8400000000000001
candidate n50,en-US,comprehensibility,P1_target_rubric,50,2.5,3.12,1.88,1.2400000000000002,0.18,0.32,0.04,0.64,3,0.8600000000000001
candidate n50,en-US,comprehensibility,P2_explicit_pivot,50,3.3,4.32,2.28,2.0400000000000005,0.54,0.84,0.24,0.8,4,0.8
candidate n50,en-US,comprehensibility,P3_bilingual,50,2.92,3.76,2.08,1.6799999999999997,0.42,0.76,0.08,0.8400000000000001,4,0.8400000000000001
candidate n50,en-US,grammar,P0_direct_english,50,3.84,4.2,3.48,0.7200000000000002,0.68,0.84,0.52,0.6599999999999999,4,0.6599999999999999
candidate n50,en-US,grammar,P1_target_rubric,50,3.24,3.56,2.92,0.6400000000000001,0.54,0.72,0.36,0.6799999999999999,4,0.6799999999999999
candidate n50,en-US,grammar,P2_explicit_pivot,50,4.14,4.56,3.72,0.8399999999999994,0.74,0.88,0.6,0.64,5,0.68
candidate n50,en-US,grammar,P3_bilingual,50,3.88,4.28,3.48,0.8000000000000003,0.72,0.88,0.56,0.66,4,0.66
candidate n50,es-ES,comprehensibility,P0_direct_english,50,2.78,3.68,1.88,1.8000000000000003,0.42,0.72,0.12,0.8,3,0.8
candidate n50,es-ES,comprehensibility,P1_target_rubric,50,2.28,2.92,1.64,1.28,0.2,0.36,0.04,0.6599999999999999,3,0.76
candidate n50,es-ES,comprehensibility,P2_explicit_pivot,50,2.52,3.24,1.8,1.4400000000000002,0.3,0.52,0.08,0.72,3,0.76
candidate n50,es-ES,comprehensibility,P3_bilingual,50,2.56,3.24,1.88,1.3600000000000003,0.36,0.64,0.08,0.78,4,0.78
candidate n50,es-ES,grammar,P0_direct_english,50,3.84,4.04,3.64,0.3999999999999999,0.68,0.76,0.6,0.5800000000000001,4,0.5800000000000001
candidate n50,es-ES,grammar,P1_target_rubric,50,3.32,3.48,3.16,0.31999999999999984,0.62,0.68,0.56,0.56,3,0.56
candidate n50,es-ES,grammar,P2_explicit_pivot,50,3.48,3.84,3.12,0.7199999999999998,0.58,0.72,0.44,0.64,4,0.64
candidate n50,es-ES,grammar,P3_bilingual,50,3.72,3.92,3.52,0.3999999999999999,0.66,0.72,0.6,0.56,5,0.6000000000000001
candidate n50,tr,comprehensibility,P0_direct_english,50,2.78,3.6,1.96,1.6400000000000001,0.42,0.76,0.08,0.8400000000000001,4,0.8400000000000001
candidate n50,tr,comprehensibility,P1_target_rubric,50,2.44,3.12,1.76,1.36,0.26,0.52,0.0,0.76,3,0.78
candidate n50,tr,comprehensibility,P2_explicit_pivot,50,2.88,3.4,2.36,1.04,0.38,0.56,0.2,0.68,3,0.72
candidate n50,tr,comprehensibility,P3_bilingual,50,2.6,3.36,1.84,1.5199999999999998,0.32,0.6,0.04,0.78,3,0.8
candidate n50,tr,grammar,P0_direct_english,50,3.46,3.4,3.52,-0.1200000000000001,0.58,0.6,0.56,0.52,4,0.52
candidate n50,tr,grammar,P1_target_rubric,50,3.06,2.96,3.16,-0.20000000000000018,0.5,0.48,0.52,0.48,5,0.5
candidate n50,tr,grammar,P2_explicit_pivot,50,3.78,3.64,3.92,-0.2799999999999998,0.66,0.64,0.68,0.48,5,0.48000000000000004
candidate n50,tr,grammar,P3_bilingual,50,3.28,3.16,3.4,-0.23999999999999977,0.6,0.56,0.64,0.46,5,0.54
candidate n50,vi,comprehensibility,P0_direct_english,50,3.2,3.52,2.88,0.6400000000000001,0.44,0.6,0.28,0.6599999999999999,4,0.6599999999999999
candidate n50,vi,comprehensibility,P1_target_rubric,50,2.78,2.92,2.64,0.2799999999999998,0.26,0.32,0.2,0.56,3,0.5800000000000001
candidate n50,vi,comprehensibility,P2_explicit_pivot,50,3.0,3.08,2.92,0.16000000000000014,0.34,0.36,0.32,0.52,3,0.5800000000000001
candidate n50,vi,comprehensibility,P3_bilingual,50,3.24,3.64,2.84,0.8000000000000003,0.54,0.72,0.36,0.6799999999999999,4,0.6799999999999999
candidate n50,vi,grammar,P0_direct_english,50,3.5,3.68,3.32,0.3600000000000003,0.62,0.72,0.52,0.6,4,0.6
candidate n50,vi,grammar,P1_target_rubric,50,2.84,3.0,2.68,0.31999999999999984,0.12,0.2,0.04,0.58,3,0.5800000000000001
candidate n50,vi,grammar,P2_explicit_pivot,50,3.68,3.64,3.72,-0.08000000000000007,0.68,0.6,0.76,0.42,5,0.5800000000000001
candidate n50,vi,grammar,P3_bilingual,50,3.52,3.56,3.48,0.08000000000000007,0.66,0.68,0.64,0.52,5,0.58
semantic n30,es-ES,main_ideas,P0_direct_english,30,1.9,2.2666666666666666,1.5333333333333334,0.7333333333333332,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5,2,0.7333333333333334
semantic n30,es-ES,main_ideas,P1_target_rubric,30,1.5666666666666667,1.8,1.3333333333333333,0.4666666666666668,0.0,0.0,0.0,0.5,2,0.7333333333333333
semantic n30,es-ES,main_ideas,P2_explicit_pivot,30,1.7333333333333334,2.1333333333333333,1.3333333333333333,0.8,0.06666666666666667,0.13333333333333333,0.0,0.5666666666666667,2,0.7666666666666666
semantic n30,es-ES,main_ideas,P3_bilingual,30,1.6666666666666667,1.9333333333333333,1.4,0.5333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5,2,0.7333333333333333
semantic n30,tr,main_ideas,P0_direct_english,30,1.8666666666666667,2.2,1.5333333333333334,0.6666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.5333333333333333,2,0.6666666666666667
semantic n30,tr,main_ideas,P1_target_rubric,30,1.9333333333333333,2.2,1.6666666666666667,0.5333333333333334,0.03333333333333333,0.06666666666666667,0.0,0.5333333333333333,2,0.6666666666666666
semantic n30,tr,main_ideas,P2_explicit_pivot,30,1.7333333333333334,1.9333333333333333,1.5333333333333334,0.3999999999999999,0.0,0.0,0.0,0.5,2,0.6333333333333333
semantic n30,tr,main_ideas,P3_bilingual,30,1.7666666666666666,2.1333333333333333,1.4,0.7333333333333334,0.03333333333333333,0.06666666666666667,0.0,0.5333333333333333,2,0.7666666666666666
semantic n30,vi,main_ideas,P0_direct_english,30,2.433333333333333,2.533333333333333,2.3333333333333335,0.19999999999999973,0.16666666666666666,0.13333333333333333,0.2,0.4666666666666667,2,0.6
semantic n30,vi,main_ideas,P1_target_rubric,30,2.7,2.8,2.6,0.19999999999999973,0.16666666666666666,0.2,0.13333333333333333,0.5333333333333333,3,0.5666666666666667
semantic n30,vi,main_ideas,P2_explicit_pivot,30,2.2,2.2,2.2,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.5,2,0.5
semantic n30,vi,main_ideas,P3_bilingual,30,2.433333333333333,2.6,2.2666666666666666,0.3333333333333335,0.23333333333333334,0.26666666666666666,0.2,0.5333333333333333,2,0.6333333333333333
wmt reference n30,en-de,translation_quality,P0_direct_english,30,4.066666666666666,4.266666666666667,3.8666666666666667,0.3999999999999999,0.9,1.0,0.8,0.6,4,0.6
wmt reference n30,en-de,translation_quality,P1_target_rubric,30,3.966666666666667,4.066666666666666,3.8666666666666667,0.19999999999999973,0.9333333333333333,1.0,0.8666666666666667,0.5666666666666667,4,0.5666666666666667
wmt reference n30,en-de,translation_quality,P2_explicit_pivot,30,3.8666666666666667,4.066666666666666,3.6666666666666665,0.3999999999999999,0.8,0.9333333333333333,0.6666666666666666,0.6333333333333333,4,0.6333333333333333
wmt reference n30,en-de,translation_quality,P3_bilingual,30,3.8666666666666667,4.066666666666666,3.6666666666666665,0.3999999999999999,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,4,0.6666666666666666
wmt reference n30,en-ru,translation_quality,P0_direct_english,30,3.6666666666666665,3.8,3.533333333333333,0.2666666666666666,0.7333333333333333,0.8,0.6666666666666666,0.5666666666666667,4,0.5666666666666667
wmt reference n30,en-ru,translation_quality,P1_target_rubric,30,3.7666666666666666,4.0,3.533333333333333,0.4666666666666668,0.7666666666666667,0.8666666666666667,0.6666666666666666,0.6,4,0.6
wmt reference n30,en-ru,translation_quality,P2_explicit_pivot,30,3.6666666666666665,3.8,3.533333333333333,0.2666666666666666,0.7,0.7333333333333333,0.6666666666666666,0.5333333333333333,2,0.5333333333333333
wmt reference n30,en-ru,translation_quality,P3_bilingual,30,3.6,3.7333333333333334,3.466666666666667,0.2666666666666666,0.6666666666666666,0.7333333333333333,0.6,0.5666666666666667,4,0.5666666666666667
wmt reference n30,zh-en,translation_quality,P0_direct_english,30,3.533333333333333,3.8666666666666667,3.2,0.6666666666666665,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,0.6666666666666666
wmt reference n30,zh-en,translation_quality,P2_explicit_pivot,30,3.533333333333333,3.8666666666666667,3.2,0.6666666666666665,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,0.6666666666666666
wmt ref-free n30,en-de,translation_quality_ref_free,P0_direct_english,30,4.666666666666667,4.933333333333334,4.4,0.5333333333333332,0.9666666666666667,1.0,0.9333333333333333,0.5333333333333333,5,0.7333333333333334
wmt ref-free n30,en-de,translation_quality_ref_free,P1_target_rubric,30,4.533333333333333,4.8,4.266666666666667,0.5333333333333332,0.9666666666666667,1.0,0.9333333333333333,0.5333333333333333,5,0.7333333333333334
wmt ref-free n30,en-de,translation_quality_ref_free,P2_explicit_pivot,30,4.6,4.866666666666666,4.333333333333333,0.5333333333333332,0.9333333333333333,1.0,0.8666666666666667,0.5666666666666667,5,0.7
wmt ref-free n30,en-de,translation_quality_ref_free,P3_bilingual,30,4.533333333333333,4.933333333333334,4.133333333333334,0.7999999999999998,0.9333333333333333,1.0,0.8666666666666667,0.5666666666666667,5,0.8333333333333333
wmt ref-free n30,en-ru,translation_quality_ref_free,P0_direct_english,30,4.566666666666666,4.666666666666667,4.466666666666667,0.20000000000000018,0.9666666666666667,1.0,0.9333333333333333,0.5333333333333333,2,0.5333333333333333
wmt ref-free n30,en-ru,translation_quality_ref_free,P1_target_rubric,30,4.433333333333334,4.666666666666667,4.2,0.4666666666666668,0.9,1.0,0.8,0.6,4,0.6
wmt ref-free n30,en-ru,translation_quality_ref_free,P2_explicit_pivot,30,4.366666666666666,4.466666666666667,4.266666666666667,0.20000000000000018,0.8333333333333334,0.8666666666666667,0.8,0.5333333333333333,2,0.5333333333333333
wmt ref-free n30,en-ru,translation_quality_ref_free,P3_bilingual,30,4.466666666666667,4.666666666666667,4.266666666666667,0.40000000000000036,0.9333333333333333,1.0,0.8666666666666667,0.5666666666666667,4,0.5666666666666667
wmt ref-free n30,zh-en,translation_quality_ref_free,P0_direct_english,30,4.166666666666667,4.666666666666667,3.6666666666666665,1.0000000000000004,0.8,0.9333333333333333,0.6666666666666666,0.6333333333333333,5,0.8
wmt ref-free n30,zh-en,translation_quality_ref_free,P2_explicit_pivot,30,4.133333333333334,4.333333333333333,3.933333333333333,0.3999999999999999,0.7666666666666667,0.8,0.7333333333333333,0.5333333333333333,5,0.6
candidate audit n25,en-US,comprehensibility,P0_direct_english,25,3.24,4.166666666666667,2.3846153846153846,1.7820512820512824,0.44,0.6666666666666666,0.23076923076923078,0.717948717948718,3,0.766025641025641
candidate audit n25,en-US,comprehensibility,P1_target_rubric,25,3.04,3.6666666666666665,2.4615384615384617,1.2051282051282048,0.4,0.5833333333333334,0.23076923076923078,0.6762820512820513,4,0.6762820512820513
candidate audit n25,en-US,comprehensibility,P2_explicit_pivot,25,3.52,4.416666666666667,2.6923076923076925,1.7243589743589745,0.52,0.75,0.3076923076923077,0.7211538461538461,5,0.7948717948717949
candidate audit n25,en-US,comprehensibility,P3_bilingual,25,3.36,4.25,2.5384615384615383,1.7115384615384617,0.52,0.75,0.3076923076923077,0.7211538461538461,3,0.7692307692307692
candidate audit n25,en-US,grammar,P0_direct_english,25,4.12,4.75,3.5384615384615383,1.2115384615384617,0.76,0.9166666666666666,0.6153846153846154,0.6506410256410257,5,0.8397435897435898
candidate audit n25,en-US,grammar,P1_target_rubric,25,4.08,4.75,3.4615384615384617,1.2884615384615383,0.72,0.9166666666666666,0.5384615384615384,0.6891025641025641,5,0.7628205128205128
candidate audit n25,en-US,grammar,P2_explicit_pivot,25,4.16,4.833333333333333,3.5384615384615383,1.2948717948717947,0.8,1.0,0.6153846153846154,0.6923076923076923,5,0.8012820512820513
candidate audit n25,en-US,grammar,P3_bilingual,25,4.28,4.666666666666667,3.923076923076923,0.7435897435897441,0.76,0.9166666666666666,0.6153846153846154,0.6506410256410257,4,0.6506410256410257
candidate audit n25,es-ES,comprehensibility,P0_direct_english,25,3.4,4.583333333333333,2.3076923076923075,2.2756410256410255,0.52,0.9166666666666666,0.15384615384615385,0.8814102564102564,4,0.8814102564102564
candidate audit n25,es-ES,comprehensibility,P1_target_rubric,25,2.92,3.9166666666666665,2.0,1.9166666666666665,0.44,0.8333333333333334,0.07692307692307693,0.8782051282051282,4,0.8782051282051282
candidate audit n25,es-ES,comprehensibility,P2_explicit_pivot,25,3.08,3.8333333333333335,2.3846153846153846,1.448717948717949,0.4,0.6666666666666666,0.15384615384615385,0.7564102564102564,3,0.7596153846153846
candidate audit n25,es-ES,comprehensibility,P3_bilingual,25,3.2,4.416666666666667,2.076923076923077,2.33974358974359,0.48,0.9166666666666666,0.07692307692307693,0.9198717948717949,4,0.9198717948717949
candidate audit n25,es-ES,grammar,P0_direct_english,25,4.48,4.666666666666667,4.3076923076923075,0.3589743589743595,0.88,1.0,0.7692307692307693,0.6153846153846154,4,0.6153846153846154
candidate audit n25,es-ES,grammar,P1_target_rubric,25,4.36,4.583333333333333,4.153846153846154,0.42948717948717885,0.92,1.0,0.8461538461538461,0.5769230769230769,5,0.5993589743589745
candidate audit n25,es-ES,grammar,P2_explicit_pivot,25,3.8,4.166666666666667,3.4615384615384617,0.7051282051282053,0.72,0.8333333333333334,0.6153846153846154,0.608974358974359,3,0.6506410256410257
candidate audit n25,es-ES,grammar,P3_bilingual,25,4.6,4.833333333333333,4.384615384615385,0.448717948717948,0.92,1.0,0.8461538461538461,0.5769230769230769,5,0.608974358974359
candidate audit n25,tr,comprehensibility,P0_direct_english,25,2.88,4.0,1.8461538461538463,2.1538461538461537,0.32,0.6666666666666666,0.0,0.8333333333333333,4,0.8333333333333333
candidate audit n25,tr,comprehensibility,P1_target_rubric,25,2.64,3.75,1.6153846153846154,2.1346153846153846,0.32,0.6666666666666666,0.0,0.8333333333333333,3,0.8782051282051282
candidate audit n25,tr,comprehensibility,P2_explicit_pivot,25,2.96,3.1666666666666665,2.769230769230769,0.39743589743589736,0.4,0.4166666666666667,0.38461538461538464,0.5160256410256411,2,0.6121794871794872
candidate audit n25,tr,comprehensibility,P3_bilingual,25,2.68,3.9166666666666665,1.5384615384615385,2.3782051282051277,0.28,0.5833333333333334,0.0,0.7916666666666667,3,0.8782051282051282
candidate audit n25,tr,grammar,P0_direct_english,25,3.96,3.9166666666666665,4.0,-0.08333333333333348,0.72,0.75,0.6923076923076923,0.5288461538461539,3,0.5352564102564102
candidate audit n25,tr,grammar,P1_target_rubric,25,3.64,3.75,3.5384615384615383,0.21153846153846168,0.68,0.75,0.6153846153846154,0.5673076923076923,3,0.5705128205128205
candidate audit n25,tr,grammar,P2_explicit_pivot,25,3.92,4.083333333333333,3.769230769230769,0.3141025641025639,0.76,0.8333333333333334,0.6923076923076923,0.5705128205128205,3,0.5737179487179487
candidate audit n25,tr,grammar,P3_bilingual,25,3.76,3.75,3.769230769230769,-0.019230769230769162,0.68,0.75,0.6153846153846154,0.5673076923076923,4,0.5673076923076923
candidate audit n25,vi,comprehensibility,P0_direct_english,25,3.56,4.25,2.923076923076923,1.326923076923077,0.56,0.8333333333333334,0.3076923076923077,0.7628205128205128,4,0.7628205128205128
candidate audit n25,vi,comprehensibility,P1_target_rubric,25,3.4,4.083333333333333,2.769230769230769,1.3141025641025639,0.56,0.75,0.38461538461538464,0.6826923076923077,3,0.7275641025641025
candidate audit n25,vi,comprehensibility,P2_explicit_pivot,25,3.48,3.75,3.230769230769231,0.5192307692307692,0.52,0.6666666666666666,0.38461538461538464,0.641025641025641,4,0.641025641025641
candidate audit n25,vi,comprehensibility,P3_bilingual,25,3.56,4.166666666666667,3.0,1.166666666666667,0.56,0.75,0.38461538461538464,0.6826923076923077,4,0.6826923076923077
candidate audit n25,vi,grammar,P0_direct_english,25,3.68,4.333333333333333,3.076923076923077,1.256410256410256,0.6,0.8333333333333334,0.38461538461538464,0.7243589743589745,4,0.7243589743589745
candidate audit n25,vi,grammar,P1_target_rubric,25,3.24,3.6666666666666665,2.8461538461538463,0.8205128205128203,0.4,0.5833333333333334,0.23076923076923078,0.6762820512820513,4,0.6762820512820513
candidate audit n25,vi,grammar,P2_explicit_pivot,25,3.56,3.5,3.6153846153846154,-0.11538461538461542,0.56,0.5,0.6153846153846154,0.4423076923076923,3,0.5288461538461539
candidate audit n25,vi,grammar,P3_bilingual,25,3.52,4.166666666666667,2.923076923076923,1.243589743589744,0.44,0.5833333333333334,0.3076923076923077,0.6378205128205128,5,0.7532051282051282
